domain;pdbid;datatype;IBS;IBS;IBS;IBS;IBS;IBS;nonIBS;nonIBS;nonIBS;nonIBS;nonIBS;nonIBS
C2DIS;1dyoA00;cathpdb;8;4;0;0;0;0;39;19;0;0;0;0
C2DIS;1dyoB00;cathpdb;8;4;0;0;0;0;39;17;0;1;0;0
START;1e09A00;cathpdb;8;7;1;0;0;0;30;16;1;0;0;0
PH;1e5wA03;cathpdb;6;3;0;0;0;0;29;18;3;0;0;0
C2;1e7uA02;cathpdb;10;7;0;0;0;0;37;27;3;0;0;0
PH;1eazA00;cathpdb;9;6;2;0;0;0;26;19;2;1;1;0
PH;1ef1A03;cathpdb;8;5;0;0;0;0;27;18;3;0;0;0
PH;1ef1B03;cathpdb;7;5;0;0;0;0;29;19;3;0;0;0
START;1em2A00;cathpdb;9;6;1;0;0;0;37;25;3;0;0;0
PH;1faoA00;cathpdb;10;8;2;0;0;0;28;20;3;0;0;0
C1;1faqA00;cathpdb;10;8;4;0;0;0;18;15;1;0;0;0
PLA;1fe5A00;cathpdb;10;9;1;0;0;0;28;16;2;1;0;0
PH;1fgyA00;cathpdb;14;10;1;0;0;0;36;22;3;1;1;0
PH;1fgzA00;cathpdb;18;13;1;0;0;0;28;20;3;1;1;0
PH;1fhoA00;cathpdb;9;6;0;0;0;0;27;20;3;0;0;0
PH;1fhwA00;cathpdb;11;11;1;1;1;0;27;17;1;1;1;0
PH;1fhxA00;cathpdb;14;12;1;0;0;0;33;21;1;0;0;0
PH;1fhxB00;cathpdb;11;10;1;0;0;0;33;21;2;1;1;0
START;1fm4A00;cathpdb;6;5;0;0;0;0;32;20;1;0;0;0
PH;1foeA02;cathpdb;9;9;3;0;0;0;29;20;0;0;0;0
PH;1foeC02;cathpdb;12;9;0;0;0;0;28;19;0;0;0;0
PH;1foeE02;cathpdb;15;13;1;0;0;0;28;20;0;0;0;0
PH;1foeG02;cathpdb;16;10;0;0;0;0;28;19;0;0;0;0
START;1fskJ00;cathpdb;7;6;0;0;0;0;37;23;2;0;0;0
START;1fvzA00;cathpdb;15;12;3;0;0;0;36;27;1;0;0;0
PX;1gd5A00;cathpdb;16;11;2;0;0;0;30;20;8;0;0;0
PLA;1gh4A00;cathpdb;12;10;3;0;0;0;27;21;2;0;0;0
C2;1gmiA00;cathpdb;12;11;3;0;0;0;27;18;3;1;0;0
PLA;1gmzA00;cathpdb;14;10;4;0;0;0;25;18;0;0;0;0
PLA;1gmzB00;cathpdb;16;12;5;0;0;0;24;17;0;0;0;0
C2DIS;1gnyA00;cathpdb;6;5;0;0;0;0;29;21;1;0;0;0
PLA;1godA00;cathpdb;15;11;3;0;0;0;28;15;0;0;0;0
PLA;1gp7C00;cathpdb;12;10;3;0;0;0;25;17;3;0;0;0
C2DIS;1gqpA00;cathpdb;10;8;1;0;0;0;37;21;2;1;1;0
C2DIS;1gu3A00;cathpdb;6;3;0;0;0;0;36;27;0;0;0;0
C2DIS;1guiA00;cathpdb;8;5;0;0;0;0;39;26;1;1;0;0
PH;1h10A00;cathpdb;10;9;2;0;0;0;23;16;0;0;0;0
START;1h2oA00;cathpdb;8;7;1;0;0;0;32;17;1;0;0;0
PX;1h6hA00;cathpdb;12;9;2;0;0;0;31;23;2;0;0;0
C2DIS;1h6xA00;cathpdb;8;4;0;0;0;0;35;18;0;1;0;0
C2DIS;1h6yB00;cathpdb;8;4;0;0;0;0;34;16;0;0;0;0
ANNEXIN;1hm6B01;cathpdb;8;6;0;0;0;0;28;13;0;0;0;0
ANNEXIN;1hm6B02;cathpdb;9;6;1;0;0;0;25;13;1;0;0;0
ANNEXIN;1hm6B03;cathpdb;10;8;0;0;0;0;25;17;2;0;0;0
ANNEXIN;1hm6B04;cathpdb;10;5;1;0;0;0;23;6;1;0;0;0
ANNEXIN;1hvdA01;cathpdb;9;6;1;0;0;0;25;13;0;0;0;0
ANNEXIN;1hveA01;cathpdb;9;6;1;0;0;0;26;13;0;0;0;0
ANNEXIN;1hvfA01;cathpdb;8;6;1;0;0;0;26;14;0;0;0;0
ANNEXIN;1i4aA01;cathpdb;8;6;1;0;0;0;25;9;1;0;0;0
ANNEXIN;1i4aA02;cathpdb;10;5;2;0;0;0;25;11;2;0;0;0
ANNEXIN;1i4aA03;cathpdb;9;7;1;0;0;0;21;12;2;0;0;0
ANNEXIN;1i4aA04;cathpdb;10;5;1;0;0;0;26;8;3;0;0;0
C2DIS;1i5pA01;cathpdb;9;4;2;0;0;0;43;24;3;0;0;0
START;1icxA00;cathpdb;9;7;0;0;0;0;28;16;1;0;0;0
START;1ifvB00;cathpdb;9;6;0;0;0;0;32;17;0;0;0;0
PLA;1ijlA00;cathpdb;14;13;4;0;0;0;25;11;1;1;0;0
PLA;1irbA00;cathpdb;12;10;1;0;0;0;26;18;1;0;0;0
C2;1isdA03;cathpdb;12;8;0;0;0;0;34;23;3;0;0;0
PLA;1it4A00;cathpdb;14;10;1;0;0;0;27;20;1;1;0;0
PH;1j0wA00;cathpdb;10;7;0;1;0;0;27;16;3;0;0;0
PH;1j0wB00;cathpdb;11;8;0;1;0;0;26;20;3;0;0;0
C2DIS;1j83A00;cathpdb;13;4;0;1;0;0;40;18;1;0;0;0
C2DIS;1j83B00;cathpdb;12;3;0;0;0;0;41;17;1;0;0;0
C2DIS;1j84A00;cathpdb;9;3;0;1;0;0;43;19;1;0;0;0
C2DIS;1jhjA00;cathpdb;8;5;0;0;0;0;33;26;0;0;0;0
C2DIS;1ji6A02;cathpdb;9;8;2;0;0;0;34;21;5;0;0;0
PLA;1jltA00;cathpdb;13;9;2;0;0;0;26;17;2;1;0;0
START;1jssA00;cathpdb;8;8;2;0;0;0;39;30;0;0;0;0
C2DIS;1ju3A02;cathpdb;5;2;0;0;0;0;42;31;3;0;0;0
C2DIS;1jz0B01;cathpdb;12;9;2;0;0;0;44;31;2;1;0;0
C2DIS;1k12A00;cathpdb;12;5;2;0;0;0;30;18;2;0;0;0
C2DIS;1k42A00;cathpdb;12;5;0;0;0;0;37;24;2;0;0;0
C1;1kbeA00;cathpdb;8;6;2;0;0;0;18;13;0;2;0;0
START;1kcmA00;cathpdb;14;11;4;0;0;0;33;24;1;0;0;0
C2DIS;1kexA00;cathpdb;13;8;0;0;0;0;27;18;3;1;1;0
C2DIS;1kgyB00;cathpdb;17;12;2;0;0;0;32;27;5;0;0;0
PH;1ki1D02;cathpdb;9;5;0;0;0;0;35;24;1;0;0;0
PX;1kmdA00;cathpdb;11;11;1;0;0;0;23;13;2;0;0;0
PX;1kq6A00;cathpdb;16;11;2;0;0;0;24;18;3;0;0;0
PLA;1kvwA00;cathpdb;10;8;1;0;0;0;27;18;1;0;0;0
PLA;1kvxA00;cathpdb;13;11;2;0;0;0;24;18;1;0;0;0
PLA;1kvyA00;cathpdb;12;10;1;0;0;0;26;17;1;0;0;0
PH;1kz7A02;cathpdb;8;6;2;0;0;0;23;16;1;0;0;0
PH;1kz7C02;cathpdb;10;7;3;0;0;0;28;18;0;0;0;0
PH;1kzgC02;cathpdb;11;8;3;0;0;0;25;15;0;0;0;0
PLA;1lffA00;cathpdb;11;10;1;0;0;0;25;13;2;2;0;0
PLA;1lfjA00;cathpdb;12;11;0;0;0;0;21;10;1;0;0;0
PLA;1lfjB00;cathpdb;12;10;1;0;0;0;23;13;2;0;0;0
START;1lltA00;cathpdb;8;7;0;0;0;0;33;20;2;0;0;0
START;1ln1A00;cathpdb;9;8;2;0;0;0;42;23;1;0;0;0
START;1ln2A00;cathpdb;9;9;2;0;0;0;37;23;1;0;0;0
START;1ln2B00;cathpdb;9;9;2;0;0;0;38;24;1;0;0;0
START;1ln3A00;cathpdb;9;9;2;0;0;0;38;23;1;0;0;0
START;1ln3B00;cathpdb;9;9;2;0;0;0;40;25;1;0;0;0
C2DIS;1lnsA04;cathpdb;5;5;0;0;0;0;42;33;3;0;0;0
PLA;1m8sA00;cathpdb;11;8;1;1;1;0;26;16;1;0;0;0
PLA;1m8tC00;cathpdb;12;10;2;0;0;0;27;14;0;0;0;0
ANNEXIN;1m9iA01;cathpdb;10;7;2;0;0;0;25;11;0;0;0;0
ANNEXIN;1m9iA02;cathpdb;9;5;1;0;0;0;20;14;0;0;0;0
ANNEXIN;1m9iA04;cathpdb;10;7;1;0;0;0;25;9;2;0;0;0
ANNEXIN;1m9iA05;cathpdb;10;7;1;0;0;0;25;16;2;0;0;0
ANNEXIN;1m9iA06;cathpdb;10;7;0;0;0;0;20;10;1;0;0;0
ANNEXIN;1m9iA07;cathpdb;15;9;0;0;0;0;19;11;1;0;0;0
ANNEXIN;1m9iA08;cathpdb;10;5;0;0;0;0;27;10;2;1;0;0
PH;1maiA00;cathpdb;10;8;1;0;0;0;36;20;0;0;0;0
PLA;1mg6A00;cathpdb;11;9;2;0;0;0;24;18;1;0;0;0
PLA;1mh2B00;cathpdb;12;11;1;0;0;0;22;13;2;0;0;0
PLA;1mh7A00;cathpdb;13;11;1;0;0;0;22;13;2;0;0;0
PLA;1mh8A00;cathpdb;12;11;1;0;0;0;22;13;2;0;0;0
PLA;1mksA00;cathpdb;11;9;1;0;0;0;26;19;1;0;0;0
PH;1mphA00;cathpdb;17;12;1;0;0;0;30;20;2;0;0;0
C2DIS;1mpxA03;cathpdb;4;2;0;0;0;0;39;28;2;0;0;0
C2DIS;1mpxB03;cathpdb;4;2;0;0;0;0;40;29;2;0;0;0
C2DIS;1mpxC03;cathpdb;4;2;0;0;0;0;39;28;2;0;0;0
C2DIS;1mpxD03;cathpdb;4;2;0;0;0;0;40;29;2;0;0;0
ANNEXIN;1n00A01;cathpdb;10;6;1;0;0;0;26;14;2;0;0;0
ANNEXIN;1n00A02;cathpdb;11;7;0;0;0;0;23;12;1;1;0;0
ANNEXIN;1n00A03;cathpdb;10;7;0;0;0;0;18;8;1;1;0;0
ANNEXIN;1n00A04;cathpdb;15;10;1;0;0;0;24;13;0;0;0;0
PLA;1n28A00;cathpdb;12;9;2;0;0;0;27;16;1;1;0;0
PLA;1n29A00;cathpdb;13;11;2;0;0;0;24;14;1;1;0;0
ANNEXIN;1n41A01;cathpdb;9;6;1;0;0;0;26;13;0;0;0;0
ANNEXIN;1n44A01;cathpdb;9;6;1;0;0;0;26;14;0;0;0;0
PH;1ni2A03;cathpdb;8;5;0;0;0;0;30;21;5;0;0;0
PH;1ntyA02;cathpdb;6;5;2;0;0;0;26;20;1;0;0;0
C2DIS;1nukA00;cathpdb;12;9;2;0;0;0;32;27;2;1;0;0
PLD;1o1zA00;cathpdb;8;4;0;0;0;0;43;31;2;0;0;0
PLA;1o2eA00;cathpdb;13;10;1;0;0;0;27;18;1;0;0;0
C2DIS;1o59A01;cathpdb;11;7;3;0;0;0;38;24;0;0;0;0
C2DIS;1o59A02;cathpdb;10;7;1;0;0;0;37;19;1;3;1;0
PX;1o7kA00;cathpdb;17;12;1;0;0;0;26;16;3;0;0;0
PX;1o7kB00;cathpdb;17;12;1;0;0;0;28;19;3;1;1;0
PX;1o7kC00;cathpdb;18;12;1;0;0;0;30;20;3;1;1;0
PX;1ocsA00;cathpdb;9;6;2;1;1;0;23;16;1;0;0;0
PX;1ocuA00;cathpdb;13;11;3;0;0;0;24;19;4;0;0;0
PX;1ocuB00;cathpdb;9;8;3;0;0;0;24;16;2;0;0;0
C2DIS;1od3A00;cathpdb;10;4;0;1;1;0;33;16;0;0;0;0
C2DIS;1oh4A00;cathpdb;10;7;1;0;0;0;38;19;2;0;0;0
PLA;1oqsA00;cathpdb;12;9;2;0;0;0;25;16;2;0;0;0
PLA;1oqsB00;cathpdb;12;12;5;0;0;0;24;14;2;0;0;0
PLA;1owsA00;cathpdb;13;11;1;0;0;0;22;12;2;0;0;0
PLA;1owsB00;cathpdb;12;10;1;0;0;0;24;12;0;1;0;0
PLA;1oyfA00;cathpdb;13;10;5;0;0;0;24;18;0;1;0;0
PLA;1oyfB00;cathpdb;12;10;5;0;0;0;32;19;1;1;0;0
PLA;1oz6A00;cathpdb;12;9;5;0;0;0;24;17;3;0;0;0
PLA;1ozyA00;cathpdb;13;10;2;0;0;0;23;16;3;0;0;0
PH;1p5tA00;cathpdb;16;11;1;0;0;0;21;13;0;0;0;0
PH;1p5tB00;cathpdb;15;11;1;0;0;0;25;14;0;0;0;0
PH;1p6sA00;cathpdb;13;9;3;0;0;0;29;22;4;0;0;0
PLA;1p7oA00;cathpdb;12;11;3;0;0;0;18;12;2;0;0;0
C2DIS;1p8jB02;cathpdb;0;0;0;0;0;0;40;22;2;0;0;0
PLA;1pa0A00;cathpdb;13;11;4;0;0;0;23;14;0;0;0;0
PLA;1pc9A00;cathpdb;12;10;4;0;0;0;26;17;1;0;0;0
PH;1plsA00;cathpdb;8;7;1;0;0;0;25;17;4;0;0;0
C2DIS;1pmhX00;cathpdb;14;6;0;0;0;0;31;21;2;1;1;0
C2DIS;1pmjX00;cathpdb;14;5;0;0;0;0;35;20;1;1;0;0
PH;1pmsA00;cathpdb;10;6;1;0;0;0;25;16;3;0;0;0
PLA;1po8A00;cathpdb;11;9;1;0;0;0;24;15;1;1;0;0
PLA;1poaA00;cathpdb;13;11;1;0;0;0;26;12;2;0;0;0
PLA;1pocA00;cathpdb;10;7;3;0;0;0;30;16;0;0;0;0
PLA;1pp2R00;cathpdb;13;9;3;1;1;0;27;18;0;0;0;0
PLA;1ppaA00;cathpdb;10;7;1;0;0;0;26;17;1;1;1;0
PLA;1psjA00;cathpdb;10;9;3;1;1;0;24;14;1;0;0;0
PLD;1ptdA00;cathpdb;17;12;2;0;0;0;41;28;1;1;1;0
C1;1ptrA00;cathpdb;11;9;4;0;0;0;19;12;2;1;1;0
PLA;1pwoD00;cathpdb;12;11;2;0;0;0;21;13;3;0;0;0
PLA;1q5tB00;cathpdb;12;9;2;0;0;0;21;17;2;1;0;0
PH;1q67B01;cathpdb;11;7;1;0;0;0;31;23;3;0;0;0
PLA;1q6vA00;cathpdb;12;10;6;0;0;0;22;17;0;1;0;0
PLA;1qllB00;cathpdb;11;10;4;0;0;0;25;18;1;0;0;0
C2;1qmmA02;cathpdb;8;6;0;0;0;0;42;30;6;0;0;0
START;1qmrA00;cathpdb;7;6;0;0;0;0;36;22;2;0;0;0
PH;1qqgA01;cathpdb;12;8;1;0;0;0;31;15;2;0;0;0
PH;1qqgA02;cathpdb;11;8;1;0;0;0;32;14;0;0;0;0
C1;1r79A01;cathpdb;8;7;1;0;0;0;26;17;5;0;0;0
C1;1rfhA01;cathpdb;10;5;1;0;0;0;20;10;3;0;0;0
PLA;1rgbA00;cathpdb;13;12;5;0;0;0;24;14;2;0;0;0
C2;1rh8A00;cathpdb;15;11;2;0;0;0;29;19;2;0;0;0
PH;1rj2J02;cathpdb;13;8;1;0;0;0;27;14;1;0;0;0
C2;1rlwA00;cathpdb;11;9;5;0;0;0;28;16;0;0;0;0
C2;1rsyA00;cathpdb;12;6;2;0;0;0;30;20;2;1;0;0
PLA;1s6bA00;cathpdb;12;11;1;0;0;0;22;11;1;0;0;0
PLA;1s6bB00;cathpdb;12;10;1;0;0;0;23;13;2;0;0;0
PLA;1s8iA00;cathpdb;12;8;2;1;1;0;25;18;1;0;0;0
ANNEXIN;1savA02;cathpdb;10;5;1;0;0;0;23;8;0;0;0;0
ANNEXIN;1savA03;cathpdb;14;9;1;0;0;0;22;10;0;0;0;0
ANNEXIN;1savA04;cathpdb;8;5;0;0;0;0;24;12;6;0;0;0
C2DIS;1sddB03;cathpdb;9;5;3;0;0;0;37;24;2;0;0;0
C2DIS;1sddB04;cathpdb;10;6;2;0;0;0;31;21;3;0;0;0
C2DIS;1sg3A01;cathpdb;9;7;3;0;0;0;35;23;0;0;0;0
C2DIS;1sg3A02;cathpdb;10;6;0;0;0;0;39;18;2;2;0;0
C2DIS;1shwB00;cathpdb;14;10;3;0;0;0;35;23;2;0;0;0
START;1t17A00;cathpdb;12;10;3;0;0;0;37;18;4;1;1;0
START;1t27A00;cathpdb;15;12;3;0;0;0;37;28;1;0;0;0
PLA;1t37A00;cathpdb;13;10;0;0;0;0;25;14;2;0;0;0
PLD;1t6mB00;cathpdb;12;11;2;0;0;0;44;30;1;1;1;0
PLD;1t8qA00;cathpdb;23;17;0;0;0;0;32;21;0;0;0;0
PLD;1t8qB00;cathpdb;23;17;0;0;0;0;33;20;0;0;0;0
PLD;1t8qC00;cathpdb;23;17;0;0;0;0;35;22;0;0;0;0
PLD;1t8qD00;cathpdb;21;16;0;0;0;0;33;21;0;0;0;0
C1;1tboA00;cathpdb;10;5;2;0;0;0;18;11;0;0;0;0
PLA;1tjkA00;cathpdb;13;11;6;0;0;0;25;17;0;0;0;0
PLA;1tjqA00;cathpdb;13;11;6;0;0;0;26;19;0;0;0;0
PH;1tqzA01;cathpdb;10;8;2;0;0;0;37;22;2;0;0;0
C2DIS;1tvgA00;cathpdb;7;5;0;0;0;0;32;22;1;1;0;0
START;1txcA00;cathpdb;9;8;0;0;0;0;34;20;0;0;0;0
PH;1u29A00;cathpdb;14;10;1;0;0;0;26;14;0;0;0;0
PH;1u2bA00;cathpdb;13;10;1;0;0;0;30;19;3;1;1;0
PLA;1u4jB00;cathpdb;12;9;2;0;0;0;28;17;1;0;0;0
PH;1u5dD00;cathpdb;9;6;2;0;0;0;26;12;1;1;0;0
PH;1u5fA01;cathpdb;8;6;1;0;0;0;31;18;2;0;0;0
PH;1u5gB01;cathpdb;7;6;2;0;0;0;31;15;1;0;0;0
PH;1uefB00;cathpdb;14;11;1;0;0;0;21;13;0;0;0;0
C2;1ugkA00;cathpdb;15;10;2;0;0;0;28;16;2;0;0;0
C2DIS;1umiA00;cathpdb;17;10;1;0;0;0;34;22;2;0;0;0
PLA;1umvX00;cathpdb;11;9;4;0;0;0;19;15;1;0;0;0
PH;1unpA00;cathpdb;12;10;2;0;0;0;22;17;2;0;0;0
PH;1unrA00;cathpdb;12;8;2;0;0;0;21;16;2;0;0;0
PH;1uprA00;cathpdb;9;6;1;1;1;0;26;19;1;0;0;0
C2DIS;1us2A01;cathpdb;6;4;0;0;0;0;39;24;2;0;0;0
START;1uw5A00;cathpdb;14;10;1;0;0;0;30;27;2;0;0;0
START;1uw5B00;cathpdb;14;10;1;0;0;0;36;27;2;1;1;0
START;1uw5C00;cathpdb;13;9;1;0;0;0;32;27;2;1;1;0
START;1uw5D00;cathpdb;12;9;1;0;0;0;34;26;1;0;0;0
C2DIS;1uwwA00;cathpdb;9;8;0;0;0;0;32;20;0;0;0;0
C2DIS;1uwwB00;cathpdb;10;8;1;0;0;0;29;19;0;0;0;0
C2DIS;1uxxX00;cathpdb;11;5;0;1;0;0;32;20;0;1;0;0
C2DIS;1uxzA00;cathpdb;10;5;0;1;0;0;47;19;2;0;0;0
C2DIS;1uy2A00;cathpdb;13;6;0;0;0;0;37;20;3;0;0;0
C2;1v27A00;cathpdb;11;9;0;0;0;0;35;25;1;0;0;0
PH;1v5mA00;cathpdb;12;7;0;0;0;0;20;14;3;1;1;0
PH;1v5pA01;cathpdb;10;6;0;0;0;0;32;20;1;0;0;0
PH;1v5uA00;cathpdb;10;7;2;0;0;0;32;20;1;0;0;0
PH;1v61A00;cathpdb;14;10;1;0;0;0;30;15;0;0;0;0
PH;1v88A00;cathpdb;12;8;1;0;0;0;22;12;2;0;0;0
PH;1v89A00;cathpdb;12;9;2;0;0;0;20;14;0;0;0;0
PLD;1v8eA00;cathpdb;11;5;0;0;0;0;43;25;1;1;0;0
PLA;1vapA00;cathpdb;12;9;3;1;1;0;21;16;2;0;0;0
PLA;1vipA00;cathpdb;14;11;3;0;0;0;23;17;3;0;0;0
START;1vjhA00;cathpdb;5;5;0;0;0;0;38;24;3;0;0;0
START;1vjhB00;cathpdb;5;5;0;0;0;0;35;23;3;0;0;0
PLA;1vl9A00;cathpdb;13;11;3;0;0;0;25;18;1;0;0;0
PLA;1vpiA00;cathpdb;12;11;3;0;0;0;23;17;1;1;0;0
C2DIS;1w0nA00;cathpdb;6;5;0;1;0;0;37;19;4;0;0;0
C2;1w16A00;cathpdb;8;4;0;0;0;0;38;22;3;0;0;0
PH;1w1dA00;cathpdb;9;6;2;0;0;0;41;23;1;0;0;0
ANNEXIN;1w45B01;cathpdb;9;6;1;0;0;0;26;13;1;0;0;0
ANNEXIN;1w45B02;cathpdb;9;5;2;0;0;0;24;14;1;0;0;0
ANNEXIN;1w45B03;cathpdb;15;10;2;0;0;0;18;12;2;0;0;0
ANNEXIN;1w45B04;cathpdb;11;6;0;0;0;0;25;11;4;0;0;0
C2DIS;1w9tB00;cathpdb;9;2;0;1;0;0;39;18;1;0;0;0
C2;1wfjA01;cathpdb;6;4;0;0;0;0;39;23;1;0;0;0
C2;1wfmA00;cathpdb;11;5;1;0;0;0;29;17;2;0;0;0
PH;1wg7A01;cathpdb;14;12;2;1;1;0;19;8;2;0;0;0
PH;1wgqA00;cathpdb;9;7;0;0;0;0;25;14;2;0;0;0
PH;1wi1A01;cathpdb;10;9;0;0;0;0;26;17;1;0;0;0
PH;1wjmA00;cathpdb;11;7;0;0;0;0;24;17;2;0;0;0
C2DIS;1wkyA02;cathpdb;8;4;0;0;0;0;36;22;1;0;0;0
PH;1wvhA00;cathpdb;9;5;1;0;0;0;32;18;0;1;0;0
PH;1x05A00;cathpdb;13;9;0;0;0;0;26;18;1;0;0;0
PH;1x1fA00;cathpdb;7;3;0;0;0;0;30;21;4;0;0;0
PH;1x1gA00;cathpdb;17;8;0;0;0;0;30;21;1;0;0;0
START;1x53A01;cathpdb;8;5;0;0;0;0;40;17;0;0;0;0
